draw,district,total_pop,chain,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,730890,"NA",588720,0.0044727065,0.9685,0.25311,56979,108410,13437, 670,363678,57912,1983,127821,38984, 94992,11075, 595,312940,40689,1534, 87911,132243,64110,151221,45991,130245,55494,120008,60971,178240, 96632,55048,141731,58226,125124, 96632,178240,1,1,142393,64639,0.6878,0.6906,1,2,0,-0.1179
cd_2020,2,724381,"NA",567185,0.0044727065,0.9685,0.05768,81944,205955, 8440,1651,167880,91142,3300,164069,54123,180632, 6984,1405,145328,64529,2690,111494,134653,64737,155388,46656,146070,56537,124925,70755,187888,100232,55684,145016,63638,135498,100232,187888,1,1,149784,67785,0.6884,0.6912,1,2,0,-0.1179
1,1,725405, 1,563937,0.0030654084,0.9856,0.43587,75205,130474,16119, 824,275605,70976,2272,153930,49634,109829,12899, 717,234819,50627,1776,103636,116093,66711,137924,47345,119313,59169,105811,68485,159389,102006,57022,127006,63820,112560,102006,159389,1,1,127705,68742,0.6501,0.6530,1,2,0,-0.1179
1,2,729866, 1,591968,0.0030654084,0.9856,0.07292,63718,183891, 5758,1497,255953,78078,3011,137960,43473,165795, 5160,1283,223449,54591,2448, 95769,150803,62136,168684,45302,157003,52863,139123,63241,206740, 94858,53711,159741,58045,148062, 94858,206740,1,1,164472,63682,0.7209,0.7235,1,2,0,-0.1179
2,1,728327, 1,583386,0.0009503385,0.9744,0.20299,65034,137556,13374, 882,292458,74485,2537,142001,44591,120242,11029, 760,253500,53228,2038, 97998,127723,63709,146117,46866,127883,56381,113578,65527,174325, 94856,55286,136919,60949,120729, 94856,174325,1,0,137926,65469,0.6781,0.6800,1,2,0,-0.1179
2,2,726944, 1,572519,0.0009503385,0.9744,0.06706,73889,176809, 8503,1439,239100,74569,2746,149889,48516,155382, 7030,1240,204768,51990,2186,101407,139173,65137,160492,45781,148433,55650,131355,66199,191803,102008,55446,149828,60916,139893,102008,191803,1,0,154252,66955,0.6973,0.7009,1,2,0,-0.1179
3,1,728407, 1,566888,0.0010602836,0.9804,0.38109,74818,129237,15456, 810,278289,72762,2265,154770,49450,109278,12438, 706,237425,51725,1767,104099,117927,67460,140114,47841,121017,59756,107347,69225,161434,102844,57645,129019,64483,114181,102844,161434,1,1,129568,69425,0.6511,0.6540,1,2,0,-0.1179
3,2,726864, 1,589017,0.0010602836,0.9804,0.07151,64105,185128, 6421,1511,253269,76292,3018,137120,43657,166346, 5621,1294,220843,53493,2457, 95306,148968,61386,166495,44806,155299,52275,137586,62502,204694, 94020,53088,157729,57382,146441, 94020,204694,1,1,162610,63000,0.7208,0.7234,1,2,0,-0.1179
4,1,728710, 1,573294,0.0014767009,0.9776,0.35628,72885,132279,14474, 796,283331,69802,2400,152743,48692,113442,11810, 690,243250,50096,1894,103420,125571,68017,146887,49007,128475,60905,114436,70315,172505,103163,58508,136227,65603,121454,103163,172505,1,1,137576,70281,0.6619,0.6644,1,2,0,-0.1179
4,2,726561, 1,582611,0.0014767009,0.9776,0.07117,66038,182086, 7403,1525,248227,79252,2883,139147,44415,162182, 6249,1310,215018,55122,2330, 95985,141325,60829,159722,43640,147841,51126,130497,61412,193624, 93701,52225,150520,56261,139168, 93701,193624,1,1,154601,62143,0.7133,0.7163,1,2,0,-0.1179
5,1,729949, 1,567228,0.0031794765,0.9764,0.34935,74397,127946,15235, 789,279548,74904,2267,154863,49128,108114,12246, 680,237963,53059,1764,104274,117256,66672,139146,47245,120009,59022,106188,68687,159644,102284,56953,128198,63847,113097,102284,159644,1,1,128449,68781,0.6513,0.6542,1,2,0,-0.1179
5,2,725322, 1,588677,0.0031794765,0.9764,0.07071,64526,186419, 6642,1532,252010,74150,3016,137027,43979,167510, 5813,1320,220305,52159,2460, 95131,149640,62174,167463,45402,156307,53010,138746,63040,206484, 94580,53780,158549,58017,147525, 94580,206484,1,1,163728,63643,0.7201,0.7227,1,2,0,-0.1179
6,1,724471, 1,561472,0.0043490182,0.9808,0.31852,74593,120893,16067, 812,283154,76700,2179,150073,49209,101314,12850, 709,240236,54194,1708,101252,109121,62426,130152,43470,112770,55096, 99199,64803,149578, 98663,52944,119635,59941,105983, 98663,149578,1,1,120164,64891,0.6493,0.6530,1,2,0,-0.1179
6,2,730800, 1,594433,0.0043490182,0.9808,0.07001,64330,193472, 5810,1509,248404,72354,3104,141817,43898,174310, 5209,1291,218032,51024,2516, 98153,157775,66420,176456,49177,163546,56935,145734,66924,216550, 98201,57789,167113,61924,154639, 98201,216550,1,1,172013,67533,0.7181,0.7202,1,2,0,-0.1179
7,1,725934, 1,563820,0.0023383961,0.9824,0.38597,75202,130195,16033, 819,275773,72005,2275,153632,49630,109563,12813, 712,234987,51198,1777,103140,115998,66630,137840,47305,119143,59098,105641,68428,159245,101759,56962,126917,63755,112390,101759,159245,1,1,127573,68643,0.6502,0.6530,1,2,0,-0.1179
7,2,729337, 1,592085,0.0023383961,0.9824,0.07183,63721,184170, 5844,1502,255785,77049,3008,138258,43477,166061, 5246,1288,223281,54020,2447, 96265,150898,62216,168769,45342,157173,52933,139293,63299,206883, 95105,53771,159831,58109,148231, 95105,206883,1,1,164604,63781,0.7207,0.7234,1,2,0,-0.1179
8,1,725759, 1,568046,0.0025789011,0.9685,0.28063,71387,108275,16339, 852,308959,74581,2017,143349,47378, 92099,13177, 741,263382,52558,1579, 97132,106500,60313,126175,41778,109203,52581, 96261,61669,146939, 97535,51040,116337,57116,102730, 97535,146939,1,1,117015,62774,0.6508,0.6550,1,2,0,-0.1179
8,2,729512, 1,587859,0.0025789011,0.9685,0.06912,67536,206090, 5538,1469,222599,74473,3266,148541,45729,183525, 4882,1259,194886,52660,2645,102273,160396,68533,180433,50869,167113,59451,148672,70058,219190, 99329,59692,170410,64749,157891, 99329,219190,1,1,175162,69650,0.7155,0.7172,1,2,0,-0.1179
