draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,gov_18_dem_mil,gov_18_rep_moo,uss_18_dem_rin,uss_18_rep_bra,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,682922,"NA",1.0000,558500,0.002558063,0.9682,0.04689,610881,15050,15057,1787,10888,196,2374,26689,508394,10166,10187,1460,8708,164,1790,17631,205927,150899,185088,129902,39604,102065,258555,160483,210241,192090,150899,205927,115984,112346,176287,234398,1,1,179883,147088,0.5502,0.5168,0.8,0.8,0,-0.00644773
cd_2020,2,679437,"NA",1.0000,551585,0.002558063,0.9682,0.10680,617383,10065,11552,5506, 5780,211,2056,26884,509110, 6385, 7469,4143,4628,168,1575,18107,151605,184587,135637,142511,25589,121250,176491,200190,136831,225434,184587,151605,131881, 80613,212812,156661,1,1,125231,174794,0.4174,0.3918,0.0,0.8,0,-0.00644773
1,1,679734, 1,0.7342,553091,0.002122054,0.9696,0.06230,601692,20310,15146,1915,10497,212,2374,27588,499822,12998,10231,1585,8347,182,1792,18134,199179,152251,180282,129620,36402,104046,246739,160827,200045,191114,152251,199179,116833,108342,175971,223392,1,1,172529,147572,0.5390,0.5049,0.8,0.8,0, 0.00263159
1,2,682625, 1,0.7342,556994,0.002122054,0.9696,0.09500,626572, 4805,11463,5378, 6171,195,2056,25985,517682, 3553, 7425,4018,4989,150,1573,17604,158353,183235,140443,142793,28791,119269,188307,199846,147027,226410,183235,158353,131031, 84617,213128,167667,1,1,132584,174311,0.4320,0.4065,0.0,0.8,0, 0.00263159
2,1,683957, 1,0.7528,555077,0.004077486,0.9881,0.15789,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195559,152796,172823,128965,38417,102410,244953,161728,199383,191742,152796,195559,115688,105620,176735,222168,0,0,170227,147528,0.5357,0.5038,0.8,1.0,0,-0.09175502
2,2,678402, 1,0.7528,555008,0.004077486,0.9881,0.09157,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,161973,182690,147902,143448,26776,120905,190093,198945,147689,225782,182690,161973,132177, 87339,212364,168891,0,0,134887,174354,0.4362,0.4086,0.2,1.0,0,-0.09175502
3,1,680704, 1,0.8090,553184,0.000698054,0.9838,0.13216,603524,19589,15220,1768,10799,211,2391,27202,500740,12577,10178,1451,8605,167,1785,17681,198478,150587,176188,127915,38447,101214,249462,159528,202978,190016,150587,198478,114565,107318,174772,226220,1,1,173111,145852,0.5427,0.5099,0.8,1.0,0,-0.09302907
3,2,681655, 1,0.8090,556901,0.000698054,0.9838,0.09096,624740, 5526,11389,5525, 5869,196,2039,26371,516764, 3974, 7478,4152,4731,165,1580,18057,159054,184899,144537,144498,26746,122101,185584,201145,144094,227508,184899,159054,133300, 85642,214327,164839,1,1,132003,176030,0.4285,0.4020,0.2,1.0,0,-0.09302907
4,1,680510, 1,0.7584,557510,0.000982854,0.9625,0.02764,608355,14899,14979,1999,10713,188,2398,26979,507055,10068,10199,1621,8560,166,1831,18010,206215,150599,189028,129612,37770,103718,256048,160447,207240,191322,150599,206215,116665,113399,175885,231644,2,3,179260,147140,0.5492,0.5146,0.8,0.8,0,-0.00604901
4,2,681849, 1,0.7584,552575,0.000982854,0.9625,0.14230,619909,10216,11630,5294, 5955,219,2032,26594,510449, 6483, 7457,3982,4776,166,1534,17728,151317,184887,131697,142801,27423,119597,178998,200226,139832,226202,184887,151317,131199, 79560,213214,159415,2,3,125853,174743,0.4187,0.3941,0.0,0.8,0,-0.00604901
