draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,542491,"NA",1.0000,432307,0.0006981946,0.9864,0.2057,22185,460172,1952,23733,4463,417,2412,27157,15439,374983,1442,16333,3683,317,1883,18227,131336,101396,113123,137442,156242,93839,133886,110309,113581,140796,165481,143491,161041,157019,159054,145437,169140,142870,171166,139747,133647,110747,113581,140796,165176,145713,1,0,131235,147405,0.4710,0.4708,0.2,0.2,0,0.2557
cd_2020,2,541734,"NA",1.0000,417816,0.0006981946,0.9864,0.5187,23014,441146,3125,40859,3614,422,1962,27592,14469,352570,2339,26384,2983,325,1443,17303,147901, 76309,122989,118488,176522,65128,143584, 94550,122381,113077,178118,101291,172128,115440,169490,105421,179179,104151,181769, 99868,147749, 88620,122381,113077,176137,105234,1,0, 99372,159406,0.3840,0.3847,0.0,0.2,0,0.2557
1,1,542220, 1,0.9733,431375,0.0001982983,0.9837,0.1719,21778,460205,1915,23791,4459,418,2421,27233,15148,374343,1403,16344,3678,319,1884,18256,132259,101014,113722,137445,157719,92924,134624,110218,114181,140399,166317,142459,161788,156061,159888,144373,169927,141910,171933,138754,134582,110400,114181,140399,165970,144712,2,0,130555,148235,0.4683,0.4681,0.2,0.2,0,0.2556
1,2,542005, 1,0.9733,418748,0.0001982983,0.9837,0.4027,23421,441113,3162,40801,3618,421,1953,27516,14760,353210,2378,26373,2988,323,1442,17274,146978, 76692,122390,118485,175045,66044,142846, 94640,121780,113473,177282,102324,171381,116398,168656,106485,178392,105112,181002,100861,146814, 88966,121780,113473,175343,106236,2,0,100051,158575,0.3869,0.3876,0.0,0.2,0,0.2556
2,1,544172, 1,0.7458,430255,0.0037990270,0.9793,0.1935,20927,456428,2636,28623,4126,435,2445,28552,14254,369946,1978,19736,3403,340,1889,18709,138805, 93968,115527,133757,164916,84582,138652,105898,117515,132269,170783,127588,164776,141872,163093,130579,173077,128668,175002,125169,139475,104550,117515,132269,169346,130776,1,0,120435,152214,0.4417,0.4420,0.2,0.4,0,0.1586
2,2,540053, 1,0.7458,419868,0.0037990270,0.9793,0.2059,24272,444890,2441,35969,3951,404,1929,26197,15654,357607,1803,22981,3263,302,1437,16821,140432, 83738,120585,122173,167848,74386,138818, 98961,118446,121603,172816,117195,168393,130587,165451,120279,175241,118353,177934,114446,141920, 94816,118446,121603,171967,120172,1,0,110171,154596,0.4161,0.4163,0.2,0.4,0,0.1586
3,1,543663, 1,0.9861,432849,0.0028601075,0.9859,0.1899,22263,461206,1924,23719,4488,419,2422,27222,15489,375480,1412,16292,3701,321,1887,18267,131964,101608,113587,137889,157312,93644,134469,110598,114041,141035,166056,143668,161574,157272,159681,145526,169677,143061,171750,139883,134334,110935,114041,141035,165747,145882,0,0,131418,148011,0.4703,0.4701,0.2,0.2,0,0.2554
3,2,540562, 1,0.9861,417274,0.0028601075,0.9859,0.5279,22936,440112,3153,40873,3589,420,1952,27527,14419,352073,2369,26425,2965,321,1439,17263,147274, 76098,122525,118041,175451,65323,143001, 94261,121920,112838,177543,101115,171596,115187,168863,105332,178642,103960,181185, 99732,147062, 88432,121920,112838,175566,105065,0,0, 99188,158800,0.3845,0.3852,0.0,0.2,0,0.2554
4,1,541078, 1,0.5661,419872,0.0019082755,0.9815,0.2496,20242,429066,2628,53633,4049,424,2115,28921,13705,345416,1944,34982,3327,333,1570,18595,139849, 85904,118415,122273,163604,77310,137282, 99053,116798,122524,168335,116296,163019,129216,161062,118584,170409,117102,171579,114262,139788, 96136,116798,122524,166881,119092,1,1,110252,151035,0.4220,0.4222,0.2,0.4,0,0.1586
4,2,543147, 1,0.5661,430251,0.0019082755,0.9815,0.2087,24957,472252,2449,10959,4028,415,2259,25828,16203,382137,1837, 7735,3339,309,1756,16935,139388, 91801,117697,133657,169159,81657,140187,105805,119163,131349,175264,128487,170150,143243,167482,132274,177909,129919,181356,125353,141608,103231,119163,131349,174432,131856,1,1,120354,155775,0.4359,0.4361,0.2,0.4,0,0.1586
