draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,688764,"NA",1.0000,560816,0.0000007259,0.9636,0.1572,29821,601086,10226,1088,17181,183,2665,26514,19760,499334,7332, 905,13586,138,1965,17796,177015,170786,180393,174236,182746,163469,157403,126214,210415,186538,223564,167169,126034,265880,180051,169497,157403,126214,206530,186672,5,0,170674,188164,0.4756,0.4748,0.2857,1.0000,0,-0.02499
cd_2020,2,688765,"NA",1.0000,559864,0.0000007259,0.9636,0.1623,29633,599563, 8429,1211,18423,205,3251,28050,20040,496417,6526,1025,14403,165,2478,18810,168775,177740,173239,180413,171294,174120,145360,136145,214523,179122,227213,159060,138605,250729,171103,177425,145360,136145,196303,193447,5,0,178395,178226,0.5002,0.5000,0.7143,1.0000,0,-0.02499
1,1,691860, 1,0.5891,571072,0.0044942792,0.9784,0.2339,17444,622331, 6672,1230,14655,192,2446,26890,12054,520369,5230,1071,11789,150,1851,18558,175349,187044,179103,191622,178962,182801,156880,144015,227339,185944,241363,165543,145182,264460,177804,187155,156880,144015,205316,204629,1,0,188481,186606,0.5025,0.5021,0.7143,1.0000,0,-0.03508
1,2,685669, 1,0.5891,549608,0.0044942792,0.9784,0.3482,42010,578318,11983,1069,20949,196,3470,27674,27746,475382,8628, 859,16200,153,2592,18048,170441,161482,174530,163027,175078,154788,145884,118344,197599,179716,209414,160687,119457,252149,173349,159766,145884,118344,197517,175490,1,0,160588,179783,0.4718,0.4711,0.2857,1.0000,0,-0.03508
2,1,686030, 1,0.7346,559758,0.0039701524,0.9693,0.2721,19469,616282, 6163,1055,14436,167,2510,25948,13048,510186,4675, 910,11459,127,1927,17426,184709,173093,185761,178579,188312,167782,162367,129784,213697,196569,228385,175326,131515,275610,186260,173151,162367,129784,215835,191200,1,0,174691,195522,0.4719,0.4713,0.2857,1.0000,0,-0.01895
2,2,691499, 1,0.7346,560922,0.0039701524,0.9693,0.1727,39985,584367,12492,1244,21168,221,3406,28616,26752,485565,9183,1020,16530,176,2516,19180,161082,175434,167871,176071,165728,169806,140396,132576,211240,169091,222392,150903,133124,241000,164893,173771,140396,132576,186998,188919,1,0,174378,170867,0.5051,0.5046,0.7143,1.0000,0,-0.01895
3,1,689741, 1,0.7103,566123,0.0014177560,0.9772,0.2112,19716,620118, 5295,1093,14782,165,2507,26065,13375,515914,4224, 954,11918,127,1926,17685,183197,178411,185399,182961,187862,171328,160642,135193,218673,194799,232146,174501,135863,273738,185485,177566,160642,135193,214346,195562,1,0,179225,194306,0.4798,0.4794,0.2857,1.0000,0,-0.01672
3,2,687788, 1,0.7103,554557,0.0014177560,0.9772,0.4969,39738,580531,13360,1206,20822,223,3409,28499,26425,479837,9634, 976,16071,176,2517,18921,162594,170116,168234,171688,166178,166261,142122,127166,206264,170861,218631,151729,128776,242872,165668,169355,142122,127166,188487,184557,1,0,169844,172084,0.4967,0.4961,0.7143,1.0000,0,-0.01672
4,1,690802, 1,0.7095,567280,0.0029581954,0.9790,0.2093,19622,621056, 5281,1099,14829,166,2527,26222,13320,516914,4213, 959,11953,128,1943,17850,182756,179779,185085,184260,187597,172594,160526,136661,220304,194435,233645,174258,137509,273380,185145,178877,160526,136661,214024,197153,1,0,180679,194006,0.4822,0.4818,0.2857,0.8571,0, 0.05234
4,2,686727, 1,0.7095,553400,0.0029581954,0.9790,0.5281,39832,579593,13374,1200,20775,222,3389,28342,26480,478837,9645, 971,16036,175,2500,18756,163035,168747,168547,170389,166443,164995,142238,125698,204634,171225,217132,151972,127130,243229,166008,168044,142238,125698,188808,182965,1,0,168390,172384,0.4941,0.4935,0.5714,0.8571,0, 0.05234
5,1,691193, 1,0.7092,565272,0.0035258786,0.9721,0.1830,19390,621526, 6454,1110,13984,161,2493,26075,13045,515616,4974, 964,11099,121,1910,17543,185242,172933,185322,179308,187909,168294,161995,129916,213098,197458,228299,175535,131435,275787,186157,173511,161995,129916,216260,190945,1,0,174754,195607,0.4718,0.4713,0.2857,1.0000,0,-0.01880
5,2,686336, 1,0.7092,555408,0.0035258786,0.9721,0.2855,40064,579123,12201,1189,21620,227,3423,28489,26755,480135,8884, 966,16890,182,2533,19063,160548,175594,168310,175341,166132,169294,140769,132443,211839,168202,222478,150695,133204,240823,164997,173411,140769,132443,186573,189174,1,0,174314,170783,0.5051,0.5045,0.7143,1.0000,0,-0.01880
6,1,689543, 1,0.7104,566248,0.0011302847,0.9784,0.2055,19596,619909, 5276,1097,14823,166,2515,26161,13301,515968,4209, 957,11947,128,1931,17807,182318,179411,184636,183886,187159,172232,160117,136380,219838,193984,233158,173841,137192,272786,184704,178510,160117,136380,213537,196730,1,0,180300,193549,0.4823,0.4818,0.2857,0.8571,0, 0.05200
6,2,687986, 1,0.7104,554432,0.0011302847,0.9784,0.5218,39858,580740,13379,1202,20781,222,3401,28403,26499,479783,9649, 973,16042,175,2512,18799,163472,169116,168997,170763,166881,165356,142647,125979,205099,171676,217619,152389,127447,243823,166450,168412,142647,125979,189296,183388,1,0,168769,172840,0.4940,0.4934,0.5714,0.8571,0, 0.05200
