draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,548026,"NA",1.0000,440765,0.0012092449,0.9641,0.2580,101822,350105,34366,1495,20127,181,8493,31437, 70326,299092,25817,1149,16812,139,6380,21050,129153, 75105,114699,58666,102110,53959,131174,120830,48256,152910, 83184,160166, 67157, 75105,129153,53628,117202, 75172,156538,1,1,130149, 64387,0.6690,0.6692,1.0000,2.000,0,-0.25606
cd_2020,2,549353,"NA",1.0000,446829,0.0012092449,0.9641,0.3025, 80279,403945,21020,2018,18240,139,2899,20813, 55662,343343,16107,1550,14600,116,2073,13378,123372,105437,116779,85754, 96012,85974,143177,126446,71036,154576,116737,168408, 97698,105437,123372,80921,120603,107218,161491,1,1,132682, 93774,0.5859,0.5810,1.0000,2.000,0,-0.25606
1,1,546847, 1,0.7480,436419,0.0033580012,0.9723,0.3195,129915,311381,41509,1553,22787,166,8656,30880, 90318,267133,31110,1187,19174,127,6484,20886,120126, 69532,105346,52950, 91115,51670,119531,110902,43559,138317, 78835,145672, 62613, 69532,120126,49394,106723, 70725,141995,2,3,118716, 59860,0.6648,0.6652,1.0000,2.000,0,-0.25606
1,2,550532, 1,0.7480,451175,0.0033580012,0.9723,0.3136, 52186,442669,13877,1960,15580,154,2736,21370, 35670,375302,10814,1512,12238,128,1969,13542,132399,111010,126131,91470,107007,88263,154819,136374,75734,169168,121087,182902,102242,111010,132399,85155,131083,111664,176034,2,3,144115, 98301,0.5945,0.5898,1.0000,2.000,0,-0.25606
2,1,546276, 1,0.7379,434094,0.0043986626,0.9827,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
2,2,551103, 1,0.7379,453500,0.0043986626,0.9827,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
3,1,547372, 1,0.7729,440172,0.0024011759,0.9459,0.1695, 75660,390338,26991,1142,14929,156,7731,30425, 51291,329847,19994, 865,12105,111,5819,20140,119946, 95037,109370,74256, 94431,69683,131633,117901,61302,147091,105608,157977, 86449, 95037,119946,68414,113334, 96030,152534,3,2,125479, 82056,0.6046,0.6025,1.0000,2.000,0,-0.25606
3,2,550007, 1,0.7729,447422,0.0024011759,0.9459,0.2031,106441,363712,28395,2371,23438,164,3661,21825, 74697,312588,21930,1834,19307,144,2634,14288,132579, 85505,122108,70164,103690,70250,142717,129375,57991,160395, 94314,170596, 78406, 85505,132579,66134,124472, 86360,165495,3,2,137351, 76105,0.6435,0.6407,1.0000,2.000,0,-0.25606
4,1,549658, 1,0.8684,442567,0.0017651149,0.9667,0.2389,107539,341643,37731,1613,20001,185,8515,32431, 74750,293012,28562,1254,16677,145,6390,21777,130467, 68212,115670,53357,103547,49010,129309,120899,43959,154664, 75804,160503, 61540, 68212,130467,48776,117356, 68673,157584,1,2,130723, 58646,0.6903,0.6912,1.0000,2.000,0,-0.25606
4,2,547721, 1,0.8684,445027,0.0017651149,0.9667,0.2992, 74562,412407,17655,1900,18366,135,2877,19819, 51238,349423,13362,1445,14735,110,2063,12651,122059,112330,115808,91064, 94575,90923,145041,126377,75334,152822,124118,168071,103315,112330,122059,85773,120450,113717,160446,1,2,132108, 99515,0.5704,0.5647,1.0000,2.000,0,-0.25606
