draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,896067,"NA",1.0000,715682,0.000881968,0.940,0.26271,805369,36345,11331,1632, 6132,155,2136,32967,649695,29039, 7866,1426,5030,116,1294,21216,273523,112947,112947,273523,0,112947,273523,0.2923,0.2923,0,0,0,0.104
cd_2020,2,897649,"NA",1.0000,717250,0.000881968,0.940,0.13358,793465,28404,23496,1555, 8771,274,2516,39168,643345,22963,15617,1335,7203,217,1687,24883,271859,123037,123037,271859,0,123037,271859,0.3116,0.3116,0,0,0,0.104
1,1,896895, 1,0.8694,714748,0.000041255,0.920,0.21959,804980,36090,11531,1599, 6444,159,2177,33915,648243,28739, 7928,1409,5269,126,1332,21702,271873,112824,112824,271873,0,112824,271873,0.2933,0.2933,0,0,0,0.104
1,2,896821, 1,0.8694,718184,0.000041255,0.920,0.10914,793854,28659,23296,1588, 8459,270,2475,38220,644797,23263,15555,1352,6964,207,1649,24397,273509,123160,123160,273509,0,123160,273509,0.3105,0.3105,0,0,0,0.104
2,1,896288, 1,0.8795,715447,0.000635552,0.920,0.19543,804909,35725,11676,1587, 6521,156,2188,33526,649284,28486, 8085,1394,5335,119,1313,21431,274641,113729,113729,274641,0,113729,274641,0.2928,0.2928,0,0,0,0.104
2,2,897428, 1,0.8795,717485,0.000635552,0.920,0.13841,793925,29024,23151,1600, 8382,273,2464,38609,643756,23516,15398,1367,6898,214,1668,24668,270741,122255,122255,270741,0,122255,270741,0.3111,0.3111,0,0,0,0.104
3,1,896634, 1,0.8884,714535,0.000249761,0.948,0.25291,805353,35535,11361,1635, 6402,152,2199,33997,648736,28145, 7801,1430,5223,119,1338,21743,273344,113744,113744,273344,0,113744,273344,0.2938,0.2938,0,0,0,0.104
3,2,897082, 1,0.8884,718397,0.000249761,0.948,0.16021,793481,29214,23466,1552, 8501,277,2453,38138,644304,23857,15682,1331,7010,214,1643,24356,272038,122240,122240,272038,0,122240,272038,0.3100,0.3100,0,0,0,0.104
4,1,900605, 1,0.8906,718593,0.004177919,0.940,0.23813,810535,34902,11338,1609, 6422,169,2116,33514,653385,27772, 7847,1418,5248,135,1291,21497,276175,112963,112963,276175,0,112963,276175,0.2903,0.2903,0,0,0,0.104
4,2,893111, 1,0.8906,714339,0.004177919,0.940,0.13633,788299,29847,23489,1578, 8481,260,2536,38621,639655,24230,15636,1343,6985,198,1690,24602,269207,123021,123021,269207,0,123021,269207,0.3136,0.3136,0,0,0,0.104
5,1,896260, 1,0.8882,714496,0.000666772,0.928,0.24667,804691,35990,11447,1602, 6447,159,2163,33761,648195,28640, 7898,1410,5265,125,1335,21628,271814,113135,113135,271814,0,113135,271814,0.2939,0.2939,0,0,0,0.104
5,2,897456, 1,0.8882,718436,0.000666772,0.928,0.12869,794143,28759,23380,1585, 8456,270,2489,38374,644845,23362,15585,1351,6968,208,1646,24471,273568,122849,122849,273568,0,122849,273568,0.3099,0.3099,0,0,0,0.104
6,1,898718, 1,0.8803,716165,0.002073907,0.940,0.21485,807341,35526,11366,1638, 6393,150,2210,34094,650296,28138, 7811,1433,5214,119,1350,21804,274206,113807,113807,274206,0,113807,274206,0.2933,0.2933,0,0,0,0.104
6,2,894998, 1,0.8803,716767,0.002073907,0.940,0.15073,791493,29223,23461,1549, 8510,279,2442,38041,642744,23864,15672,1328,7019,214,1631,24295,271176,122177,122177,271176,0,122177,271176,0.3106,0.3106,0,0,0,0.104
7,1,899979, 1,0.8810,717555,0.003479927,0.944,0.28692,807604,36349,11564,1635, 6424,152,2183,34068,650637,28986, 7983,1439,5247,119,1338,21806,273514,113629,113629,273514,0,113629,273514,0.2935,0.2935,0,0,0,0.104
7,2,893737, 1,0.8810,715377,0.003479927,0.944,0.14280,791230,28400,23263,1552, 8479,277,2469,38067,642403,23016,15500,1322,6986,214,1643,24293,271868,122355,122355,271868,0,122355,271868,0.3104,0.3104,0,0,0,0.104
8,1,892391, 1,0.8680,711884,0.004980722,0.944,0.24392,803227,34567,11189,1580, 6396,169,2093,33170,647372,27477, 7716,1403,5229,135,1290,21262,272878,111236,111236,272878,0,111236,272878,0.2896,0.2896,0,0,0,0.104
8,2,901325, 1,0.8680,721048,0.004980722,0.944,0.12100,795607,30182,23638,1607, 8507,260,2559,38965,645668,24525,15767,1358,7004,198,1691,24837,272504,124748,124748,272504,0,124748,272504,0.3140,0.3140,0,0,0,0.104
9,1,893059, 1,0.8771,711489,0.004235899,0.936,0.22064,802694,35076,11220,1610, 6384,163,2176,33736,646439,27728, 7675,1419,5214,130,1345,21539,271548,113039,113039,271548,0,113039,271548,0.2939,0.2939,0,0,0,0.104
9,2,900657, 1,0.8771,721443,0.004235899,0.936,0.12365,796140,29673,23607,1577, 8519,266,2476,38399,646601,24274,15808,1342,7019,203,1636,24560,273834,122945,122945,273834,0,122945,273834,0.3099,0.3099,0,0,0,0.104
10,1,899025, 1,0.9705,717930,0.002416213,0.936,0.29538,808566,35746,11272,1654, 6186,148,2197,33256,652426,28392, 7762,1442,5066,113,1339,21390,272904,113856,113856,272904,0,113856,272904,0.2944,0.2944,0,0,0,0.104
10,2,894691, 1,0.9705,715002,0.002416213,0.936,0.12687,790268,29003,23555,1533, 8717,281,2455,38879,640614,23610,15721,1319,7167,220,1642,24709,272478,122128,122128,272478,0,122128,272478,0.3095,0.3095,0,0,0,0.104
11,1,896903, 1,0.8885,714540,0.000050175,0.944,0.28075,806316,35078,11255,1620, 6430,159,2163,33882,649270,27722, 7711,1428,5247,125,1334,21703,272481,113177,113177,272481,0,113177,272481,0.2935,0.2935,0,0,0,0.104
11,2,896813, 1,0.8885,718392,0.000050175,0.944,0.13941,792518,29671,23572,1567, 8473,270,2489,38253,643770,24280,15772,1333,6986,208,1647,24396,272901,122807,122807,272901,0,122807,272901,0.3103,0.3103,0,0,0,0.104
12,1,893807, 1,0.6012,711342,0.003401876,0.908,0.10489,778645,45499,21108,1745, 6553,160,2635,37462,628948,36580,13890,1481,5396,129,1628,23290,274244,117232,117232,274244,0,117232,274244,0.2995,0.2995,0,0,0,0.104
12,2,899909, 1,0.6012,721590,0.003401876,0.908,0.14331,820189,19250,13719,1442, 8350,269,2017,34673,664092,15422, 9593,1280,6837,204,1353,22809,271138,118752,118752,271138,0,118752,271138,0.3046,0.3046,0,0,0,0.104
13,1,898912, 1,0.9076,716275,0.002290218,0.948,0.25930,807571,35467,11343,1639, 6426,150,2194,34122,650394,28077, 7820,1434,5246,118,1336,21850,272868,114117,114117,272868,0,114117,272868,0.2949,0.2949,0,0,0,0.104
13,2,894804, 1,0.9076,716657,0.002290218,0.948,0.15729,791263,29282,23484,1548, 8477,279,2458,38013,642646,23925,15663,1327,6987,215,1645,24249,272514,121867,121867,272514,0,121867,272514,0.3090,0.3090,0,0,0,0.104
14,1,898368, 1,0.9919,717393,0.001683656,0.944,0.33379,807650,36280,11354,1631, 6151,160,2131,33011,651401,28986, 7868,1425,5046,123,1289,21255,274390,112713,112713,274390,0,112713,274390,0.2912,0.2912,0,0,0,0.104
